Intensity_MassDisplacement_PI,Intensity_MaxIntensityEdge_DAPI,Intensity_MaxIntensityEdge_PI,Intensity_MaxIntensity_DAPI,Intensity_MaxIntensity_PI,Intensity_MeanIntensityEdge_DAPI,Intensity_MeanIntensityEdge_PI,Intensity_MeanIntensity_DAPI,Intensity_MeanIntensity_PI,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_PI,Intensity_MinIntensityEdge_DAPI,Intensity_MinIntensityEdge_PI,Intensity_MinIntensity_DAPI,Intensity_MinIntensity_PI,Intensity_StdIntensityEdge_DAPI,Intensity_StdIntensityEdge_PI,Intensity_StdIntensity_DAPI,Intensity_StdIntensity_PI,Intensity_UpperQuartileIntensity_DAPI,Intensity_UpperQuartileIntensity_PI,Number_Object_Number
0.264683641,0.053955901,0.038605325,0.210742354,0.038605325,0.038844443,0.031228755,0.102061126,0.032329474,0.095246814,0.032806896,0.028747998,0.026550699,0.028747998,0.026550699,0.005678472,0.002877531,0.053614485,0.002389086,0.149080642,0.034256503,57
0.161483395,0.054978255,0.034271762,0.08856336,0.034531165,0.040795817,0.030372496,0.058527815,0.030499253,0.058976121,0.030350195,0.032410163,0.026581217,0.032410163,0.026581217,0.005858402,0.001678853,0.015134318,0.001562654,0.071000226,0.031616695,58
0.162813843,0.061844815,0.038361181,0.175570309,0.038361181,0.043550361,0.032718999,0.085260039,0.032938157,0.084596016,0.032959487,0.032761119,0.029007401,0.032761119,0.028015565,0.005366646,0.001723623,0.035458796,0.001484333,0.114564739,0.033981841,59
0.124199378,0.048569467,0.036728464,0.19626154,0.040878918,0.035478418,0.032551905,0.098056036,0.033884745,0.111421376,0.033859771,0.028686961,0.029190509,0.028686961,0.028839551,0.004102505,0.001530414,0.042089693,0.001750121,0.129716948,0.035019454,60
0.323958732,0.053757533,0.037460897,0.240177006,0.040375371,0.039216333,0.032570641,0.106496066,0.03368799,0.104325935,0.033722438,0.028992143,0.026504921,0.028992143,0.026504921,0.005604313,0.002911621,0.053822736,0.002272034,0.153795674,0.035141528,61
0.251268667,0.054703593,0.035873961,0.165774018,0.037674524,0.038269022,0.031734406,0.096892198,0.032642858,0.104493782,0.032715343,0.029785611,0.026642252,0.029785611,0.026642252,0.005079439,0.001965513,0.038149013,0.00153598,0.129026473,0.033688106,62
0.038206986,0.047104601,0.036514841,0.162050813,0.040268559,0.034850315,0.032319195,0.089091612,0.034190635,0.093263142,0.034180209,0.027069505,0.027069505,0.027069505,0.027069505,0.004653872,0.001592627,0.036260041,0.001743109,0.120408945,0.035431448,63
0.079923576,0.047425039,0.039047837,0.104997329,0.039047837,0.037291437,0.03272626,0.062811662,0.032982765,0.062577248,0.032791637,0.029953459,0.02902266,0.029953459,0.02902266,0.00468208,0.002093216,0.019595355,0.001652992,0.078187227,0.033890288,64
0.093590062,0.06053254,0.037827116,0.1657435,0.038849469,0.039141142,0.033374608,0.09279176,0.034244776,0.096437018,0.034088656,0.031570915,0.028610665,0.031570915,0.028610665,0.005873305,0.001726018,0.036425486,0.001642774,0.121564813,0.035198748,65
0.145148891,0.052857254,0.037613489,0.122270539,0.038498513,0.037957523,0.033065877,0.070261876,0.033503503,0.068551153,0.033463035,0.030029755,0.02949569,0.030029755,0.02949569,0.005935954,0.001891014,0.025053411,0.001645298,0.092015713,0.03463798,66
0.166198838,0.05041581,0.039459832,0.136263072,0.050232701,0.038570619,0.032725964,0.075203557,0.033046133,0.076112002,0.032776378,0.030548561,0.02854963,0.030548561,0.028381782,0.004834586,0.001858297,0.02714767,0.002186738,0.096742198,0.033859771,67
0.277667237,0.054932479,0.038178071,0.214221403,0.039581902,0.036540508,0.032931335,0.103073,0.033823388,0.104402229,0.034241244,0.028488593,0.026489662,0.028488593,0.026489662,0.005475114,0.002815472,0.050340918,0.00225386,0.1454757,0.035358969,68
0.153714963,0.069077589,0.034897383,0.221866176,0.038986802,0.042720884,0.030852742,0.111707419,0.032768739,0.108140688,0.032494087,0.031586174,0.028091859,0.031586174,0.027878232,0.00670144,0.001207142,0.056850477,0.002149077,0.165491715,0.034397651,69
0.076269571,0.05728237,0.035965513,0.129442289,0.037918668,0.039312281,0.032038088,0.071556457,0.032483149,0.073205158,0.032379646,0.031448845,0.029068436,0.031448845,0.029068436,0.005318018,0.00125713,0.021793293,0.001316579,0.086667432,0.033188373,70
0.101435761,0.058655679,0.037994966,0.157228962,0.037994966,0.040214847,0.032524147,0.082736987,0.033223608,0.084771495,0.033295184,0.032303348,0.027664607,0.032303348,0.027664607,0.005624181,0.002525076,0.03184498,0.001841346,0.107713437,0.034531165,71
